key,input,score,alea,epis
QEYOHPDHFPXPHI-UHFFFAOYSA-N,O=C(O)CSC(C(=O)Nc1ccc(Cl)cc1)c1ccccc1,0.4145428,0.23459688,0.008100217
GPOFEGFXZJVBAV-UHFFFAOYSA-N,O=[N+]([O-])/N=C1\NCCN1CCCCl,0.42297807,0.23508655,0.008981084
JLCVKQHIFSBODF-UHFFFAOYSA-N,CCc1cc2[nH]c(=O)c3cnn(C4CCC4)c3c2cc1C(=O)N1CCN(CCC(F)(F)F)CC1,0.40997684,0.23328444,0.008611406
HFHMTIRZGGSTAO-UHFFFAOYSA-N,O=C1c2cc(Cl)ccc2C2(c3ccccc3)SCCN12,0.41905612,0.23200157,0.011446519
ZQPKBYQQGAQUAK-BQYQJAHWSA-N,O=C(O)c1ccc(OC/C=C/Cn2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)c3ccc(N4CCOCC4)cc32)cc1,0.4089203,0.23211098,0.009593508
PBQDGEKTDHPEJT-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)c3ccc(OC)cc3)cc2)ccc1N,0.41405827,0.2349642,0.007649831
DRFZSNBMKDNIIY-UHFFFAOYSA-N,O=C(NCC1CC1)c1cc2c(s1)CCN2C(=O)c1ccc(F)cc1,0.4153958,0.23496035,0.00788183
SIVHAPVFQQZNKB-UHFFFAOYSA-N,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(=O)[nH]4)c3c2)s1,0.4184517,0.23452172,0.008828162
KEFVSMYJFCKVGF-DVVUODLYSA-N,CC(=O)c1cc([C@H]2OC[C@@H](N=[N+]=[N-])[C@@H]2Cl)oc1C,0.41249827,0.23453596,0.00780748
MBQZCRIKUPDPSI-UHFFFAOYSA-N,O=C(O)c1cccc(CN2C(=O)CC(c3ccccc3)Sc3ccccc32)c1,0.42416906,0.23589976,0.008349889
LZLAWIZBRZSTHY-UHFFFAOYSA-N,O=C(CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1)NCCN1CCOCC1,0.4202453,0.23199177,0.011647407
QDJHBNNBIMGPTN-HRQOGRHRSA-N,Cc1cccc2c1OP(=O)(O[C@H]1C[C@H](n3cc([125I])c(=O)[nH]c3=O)O[C@@H]1CO)OC2,0.4226536,0.23767343,0.006344108
UYCUSHGDWRMTBH-ROUUACIJSA-N,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](O)CC)cc1,0.41984114,0.23306657,0.010507981
ZURWTJLUKIDQPW-UHFFFAOYSA-N,CC(C)N(CCC1(c2ccccc2)C(=O)NCN2CCCCC21)C(C)C,0.08105634,0.071857765,0.0026284426
KPILUSAHPYZUAU-UHFFFAOYSA-N,COc1ccc(C(=O)N2CCC3(CC2)CCN(c2ccncc2)CC3)cc1,0.08360245,0.074254915,0.0023581604
MWDLEZWHBIBUQF-UHFFFAOYSA-N,CNC(=O)Cc1ccc(C(=O)Nc2cccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)s3)c2)cc1,0.078649275,0.070043415,0.002420144
PMFVVLDDNQOBSK-UHFFFAOYSA-N,Cc1cc(NC(=O)c2c[nH]c3c(C(F)(F)F)cccc3c2=O)no1,0.08069447,0.0719423,0.0022405575
JUPLUOFUEJQTPN-CMDGGOBGSA-N,CS(=O)(=O)N(c1cc(C(F)(F)P(=O)(O)O)ccc1/C=C/c1ccccc1)S(C)(=O)=O,0.094793595,0.08180913,0.0039986307
MLXZZQXUAVHVTH-UHFFFAOYSA-N,O=c1[nH]c2ccccc2c2nc(-c3cccc(S(=O)(=O)N4CCCC4)c3)nn12,0.08373554,0.07392506,0.0027988374
OULXRFUMARETNV-UHFFFAOYSA-N,N#Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,0.076890565,0.069150046,0.0018283579
RETSFBPUNNCKER-OPDITWGLSA-N,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C45CC(C4)C5)c3c2F)C[C@H]1CN,0.085180335,0.07559586,0.002328801
JHXBUZHKTRBUPU-HKUYNNGSSA-N,CC#Cc1cncc(-c2csc([C@@H]3C[C@@H](c4c(C)noc4C)SC(N)=N3)c2)c1,0.09535627,0.08301791,0.0032455474
DQUIDHIGYCDUAW-UHFFFAOYSA-N,CCCCC(C)(O)C1CCC(N2C(=O)Cc3cc(OC)c(OC(C)C)cc3C2c2ccc(Cl)cc2)CC1,0.08226285,0.072361045,0.003134638
XZKSPTBEYGRIAW-UHFFFAOYSA-N,COc1cc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2cc1C,0.08025789,0.0713288,0.0024877687
XRJVXAMPYWOKBH-UHFFFAOYSA-N,O=C1C=CC(=O)N1CCNc1ncc(C(F)(F)F)cc1Cl,0.08082129,0.07140938,0.002879842
GUDSRFLRMQKQOH-UHFFFAOYSA-N,N#Cc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,0.08818887,0.07815557,0.002256005
NQOFDAVXLYCOSS-UWVGGRQHSA-N,CC(=O)N[C@@H](CCN)C(=O)N[C@@H](CC(C)C)C(N)=O,0.08012988,0.07130209,0.002406989
UCLODDTXWGYADM-UHFFFAOYSA-N,COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCCC3)cc2F)c1,0.082846075,0.072967365,0.0030152514
YPOJPDVIGNKUGH-XDHOZWIPSA-N,O=C(NCCCn1ccnc1)/C(=C\c1cccnc1)NC(=O)c1cccc(Br)c1,0.09302357,0.081832096,0.0025380775
UDYZLBDATCUMND-BGABXYSRSA-N,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[nH]c3=O)CC2)CC1,0.08634338,0.07564065,0.0032475553
ACWNTJJUZAIOLW-BWXYOZBYSA-N,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.09323211,0.08174555,0.0027943263
KHGOSYUXMMBUFD-UHFFFAOYSA-N,Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCN(C(=O)C3CCOC3)CC1)cn2C,0.08268647,0.073325545,0.0025238618
YQKRUFIYOUBDLA-UHFFFAOYSA-N,O=C(CCc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCC(=O)N2,0.0821546,0.07336689,0.0020383336
GMDSYOIQJYEGEH-KRWDZBQOSA-N,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCC1,0.07865801,0.07070138,0.0017695465
OSZGNMXDUIRKKS-UHFFFAOYSA-N,CC(=O)Nc1nccc(-c2cc(-c3ccccc3)no2)n1,0.08864189,0.07764972,0.0031347945
WVXIXBVAEFTGOJ-UHFFFAOYSA-N,CCCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c(OC)c1,0.07940301,0.070869125,0.0022290566
AFUGPLVMIXYSOF-UHFFFAOYSA-N,COc1ccccc1-c1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,0.08721582,0.077659994,0.001949216
SBHSPVCXPBMFDR-UHFFFAOYSA-N,CC(O)c1cc2c(s1)C(=O)c1scc(C(C)O)c1C2=O,0.088459976,0.07765122,0.002983606
PDVPPOQDCVUFMJ-IXXDFCNBSA-N,COc1cccc(-c2cc(C(=O)Nc3cc4ccc(OC5CC(C)C[C@@H](O)[C@H]5O)c(C)c4oc3=O)ccc2OC)c1,0.08458662,0.07496239,0.00246933
NFNFUNPPSRQEKS-UHFFFAOYSA-N,O=C(O)c1ccc(SCc2cccc(F)c2)cn1,0.095374495,0.082694165,0.0035840487
ZJODQSBBDBFFAS-UHFFFAOYSA-N,CC(C)CCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1,0.08605494,0.07605407,0.0025954333
MNQJBAQJEVQGPF-UHFFFAOYSA-N,Cc1nc(-c2ccccc2)sc1C1=NN(c2ccccc2)C(c2ccccc2)C1,0.08553695,0.07566154,0.0025588344
PWYXPDSKZHIDIQ-UHFFFAOYSA-N,CC(NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1)C1(C)CC1,0.08650843,0.076348715,0.0026759936
MZARYTXBCFQUMR-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)N2CCN(c3ncccc3C(=O)NC(C(N)=O)C(C)O)CC2)cc1,0.08356819,0.07438198,0.002202587
SYLBDRSSIIBAIV-HOTGVXAUSA-N,CSc1ccc(C(=O)N[C@@H](CCC/N=C(\N)N[N+](=O)[O-])C(=O)N[C@@H](CC(C)C)C(N)=O)cc1,0.0943819,0.08202337,0.003450594
PNJABCDGUHWOMR-UHFFFAOYSA-N,Cc1sc2ncnc(SCc3nnc(-c4ccccc4)o3)c2c1C,0.4301867,0.23605381,0.009072277
OFBWCUWERYAJIG-CVEARBPZSA-N,O=Cc1ccc([C@H](O)[C@H](O)CO)n1CCc1ccc(O)cc1,0.41854203,0.23381962,0.009544979
LMWAGXVZVZCSLJ-UHFFFAOYSA-N,Cc1ccc(C)c(NC(=O)Cn2nc(C)c3ccccc3c2=O)c1,0.43648118,0.23636769,0.009597716
PWOKLGVLHXQYNY-UHFFFAOYSA-N,CCCCC(=O)Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.43379477,0.236706,0.008910818
FEQSHWFAEKVGMW-UHFFFAOYSA-N,CCOc1ccc2nc(N(CCCN(C)C)C(=O)c3ccc4c(c3)CCCC4)sc2c1,0.42936075,0.23300773,0.012002388
VDUWUDNNQOTQJY-UHFFFAOYSA-N,c1cc2cc(-c3c(-c4ccc5c(c4)OCO5)noc3-c3ccsc3)ccc2[nH]1,0.44233724,0.23588052,0.010794479
GKPVTQTVQVPDLH-VOTSOKGWSA-N,CCOC(=O)/C=C/c1cc(CN2CCN(c3ccccn3)CC2)cc(C(N)=O)c1,0.42591104,0.2358386,0.008672192
YVYVEXJFUOWVCK-UHFFFAOYSA-N,CCOC(=O)CCc1ccc(-c2ccc(OC)cc2)n1-c1ccc(C(C)=O)cc1,0.4351137,0.23323211,0.012557632
JUEAHXPWDLGQON-RGKRWLCDSA-N,C[C@@]12Cc3ccccc3CCC(Cc3ccc(O)cc31)C2N,0.42605668,0.23507217,0.009460204
VBOOWEPYXWAHBC-UHFFFAOYSA-N,Cc1cccn2c(=O)c3cc(C(=O)NCC(C)C)sc3nc12,0.43426856,0.23727174,0.008407633
LRZXJAOUUBYAPE-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2F)s1,0.41996747,0.23342922,0.010165573
ZOJSBJMHWGMYNM-UHFFFAOYSA-N,N#Cc1ccccc1-c1ccc(Cn2c(-c3cscn3)nc3ccc(Cl)cc32)cc1,0.42437166,0.23323631,0.011044024
JHWUXMUHCFSXIS-OVCLIPMQSA-N,CCOc1ccc(C(=O)N/N=C/c2cc([N+](=O)[O-])cs2)cc1,0.42698133,0.23497191,0.0096963905
GWNPRPOEZOJFHO-UHFFFAOYSA-N,OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1,0.43122673,0.23742844,0.00784177
VGEVGTWKOGDMJH-UHFFFAOYSA-N,CCOc1ccc2c(NN=Cc3cccc(OC)c3)cc(C)nc2c1,0.4262305,0.23331991,0.011238151
WAIYJGWQTGVSJY-UHFFFAOYSA-N,c1ccc(P(=C2c3ccccc3-c3ccccc32)(c2ccccc2)c2ccccc2)cc1,0.43018457,0.23751923,0.0076065655
ZDJDDHHJDNXZRV-GWHBCOKCSA-N,CN(C(=O)CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)c1ccc(CC(=O)NCc2ccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1,0.4287588,0.23432535,0.010599349
JKIRNPPDEQPHQE-UHFFFAOYSA-N,NCCCNCCCCNCCCCN1C(=O)c2cccc3cccc(c23)C1=O,0.4338955,0.23523106,0.010399146
ZFZWERMXSWIPRQ-VWLOTQADSA-N,COc1ccc(-c2cccc(COc3ccc([C@H](CC(=O)O)c4nccn4C)cc3)c2)cc1,0.43399155,0.23488411,0.010758754
HAOJSTOAECRQGW-WWQQVGJXSA-N,CCCCN(C)/C(CC)=N/c1ccc2c(c1)C(=O)c1ccc(/N=C(\CC)N(C)CCCC)cc1C2=O,0.44216272,0.23693174,0.009723103
SRRZEMVAQOSBLB-UHFFFAOYSA-N,c1ccc(CCN2C3CCC2CC3)nc1,0.42616004,0.2332478,0.011299868
VPPPLAKILVBFMD-UHFFFAOYSA-N,Cc1ccn2nc(C)c(C(=O)NCc3ccc(N4CCC(c5ccc(OC(F)(F)F)cc5)CC4)cc3)c2c1,0.42578813,0.23484941,0.009643194
KPSNFOHNLPZDRP-NJSLBKSFSA-N,Cc1noc(C)c1NC(=O)Nc1cccc2c1O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@@H](C)CO)C2=O,0.43196133,0.23556541,0.009805297
RXXCIBALSKQCAE-UHFFFAOYSA-N,CC(C)CCOCc1ccccc1,0.4349355,0.23653561,0.009230983
HJVRGNVSQKIHBY-UHFFFAOYSA-N,CCCCNc1nnc(CCn2nc(C)c(Br)c2C)s1,0.43638083,0.23241115,0.013541445
WFVKABQFHLSPFH-INIZCTEOSA-N,CCn1ncc(-c2nc3c(N[C@H]4CCN(C(=O)C5CCOCC5)C4)ncnc3n2C)c1C,0.43304336,0.2354382,0.010078612
SZYQCCZQMOWZEU-UHFFFAOYSA-N,Cc1cc(C)c(S(=O)(=O)N2CCOC23CCN(S(C)(=O)=O)CC3)c(C)c1,0.42724192,0.23472269,0.00998356
BJEPBULKEVIYBP-UHFFFAOYSA-N,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(Br)nc(N)nc21,0.43704325,0.23609583,0.009940599
LTBAVIKQCJGFGL-DPSVNRJGSA-N,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(S(=O)(=O)c2ccc(F)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.42712635,0.2337771,0.010912339
SXRKIFFGKQRXMR-UHFFFAOYSA-N,CC(C)COC(=O)N1CCCCC1c1cc(C(=O)N2CCOCC2)no1,0.42872706,0.23529795,0.009622199
YOQXJJARPAWPJV-UHFFFAOYSA-N,CC1CCCN(C(=O)c2ccc([N+](=O)[O-])o2)C1,0.42874998,0.23241815,0.012505292
SOCFMKNDWIYRRR-UHFFFAOYSA-N,CCN(CC)C(=O)c1sc2c(c1C)c(=O)n(-c1ccc(OC)cc1OC)c(=O)n2CC(=O)Nc1ccccc1,0.42735383,0.23249905,0.012223504
CVAQCUFVFMUERM-UHFFFAOYSA-N,COc1cc(-c2ccc(OCCC(C)C)cc2)c(OC)c(O)c1-c1ccc(O)cc1,0.22785239,0.1637295,0.012206202
UYKWWWBGNUBPCF-VHXPQNKSSA-N,COCCCn1c(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs/c1=N\c1ccccc1,0.20710891,0.14876121,0.0154536115
TUVIKSUZLKLDRJ-UHFFFAOYSA-N,Cc1cccc(NC(=O)CN2CCc3cc4c(cc3C2C)OCCCO4)c1,0.22347628,0.15684056,0.016694067
OROJMOQAFFDQHI-UHFFFAOYSA-N,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1C(=O)OCC(=O)c1ccc(Br)cc1,0.21482398,0.1553651,0.013309537
ULKVTWZZSYMWKM-OUKQBFOZSA-N,CC12CC3CC(C)(C1)CC(/N=C(\N)Nc1ccccc1/C=C/c1ccccc1)(C3)C2,0.0997542,0.08338656,0.0064167245
XXOCKOBQSMYTBC-UHFFFAOYSA-N,CC(=O)Nc1ccc(OC(F)(F)C(F)F)c(NC(C)=O)c1,0.101397276,0.0868498,0.004266065
KJJYXWAOCHOXSO-UHFFFAOYSA-N,COc1ccc(-n2c(=O)c3ccccc3n(Cc3ccccc3F)c2=O)cc1OC,0.091531,0.079141974,0.0040110988
OCHUYZCQFZEMGU-UHFFFAOYSA-N,Cc1ccc(C(=N)NOC(=O)c2ccc3ccccc3c2)cc1,0.10064684,0.08463258,0.005884472
VFJXXDCXLPMUBR-UHFFFAOYSA-N,O=C(c1c(Nc2cc(Cl)cc(Cl)c2)[nH]c2c(Cl)ccc([N+](=O)[O-])c2c1=O)C1CC1,0.09389992,0.0804272,0.004655526
AVJXKYISGXVRHY-UHFFFAOYSA-N,CC1(C)CC(C)(C)CC2(C1)NCc1cc(C(C)(C)C)cc(I)c1O2,0.1092089,0.092693835,0.0045884717
WXZGKBGEDPBBPB-UHFFFAOYSA-N,O=C(COc1cccc2c1CNCC2)NCC(O)CN1CCc2ccccc2C1,0.09926397,0.08423188,0.005178749
WJOFBCYZALIRKI-UHFFFAOYSA-N,O=C(c1cc2ccccc2[nH]1)N1CCN(CCOc2cccnc2)CC1,0.09179581,0.07898138,0.004387967
KRIRSNPOXFHZIB-UHFFFAOYSA-N,CCNC(=O)Cc1ccc(-c2ccccc2)cc1,0.0963697,0.08259725,0.004485327
BDLDSSMAHRDDGB-UHFFFAOYSA-N,CC(O)CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21,0.09921915,0.084568575,0.0048061404
GKKSHWWDZSJINW-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(-c5cccnc5)cc4)ncc3c2)ccn1,0.084022,0.072891116,0.00407119
WDMCNBXVZBAGKS-UHFFFAOYSA-N,CN(Cc1ccccc1)C(=O)c1cc2c(=O)n(C)c3ccccc3c2s1,0.09155616,0.07956503,0.003608589
DAEZZWXOBPFGQJ-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(C(=O)c2cc(-c3cccs3)cs2)CC1,0.101189,0.08544853,0.005501247
GUERDLPJJJMIEU-UHFFFAOYSA-N,Cc1cccc(CCN)c1,0.09939456,0.08409856,0.0054167192
PGLJEFBAXFMYBH-UHFFFAOYSA-N,Cc1csc(CNC(=O)NC(C)c2ccc3c(c2)OCCO3)n1,0.10103743,0.086343616,0.0044852546
BKGCPRVFMYQBRH-KPKJPENVSA-N,C=C(/C=C/C(=O)Nc1ccc(N)cc1)CC1(C)Cc2ccccc2C1=O,0.105748445,0.08849292,0.006072795
DWBXNQKRJAOIHK-NRFANRHFSA-N,C=CC[C@H]1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O,0.09232419,0.080158725,0.0036417223
ZAZULDNVGOECEO-VGVWILAUSA-N,CCOP(=O)(OCC)C(NC(=S)NC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12)c1ccccc1F,0.085370824,0.074880235,0.0032024188
ZXWUBJASPQKEAN-UHFFFAOYSA-N,NC(=O)c1cc2cc(Cc3ccccc3)c(C(F)(F)F)nc2nc1N,0.09429677,0.0809187,0.004486167
VJOQCICRCCURSU-UHFFFAOYSA-N,O=[N+]([O-])c1ncn(CCCN(Cc2ccc(C(F)(F)F)cc2)Cc2ccc(C(F)(F)F)cc2)n1,0.108111925,0.09074571,0.005678006
KPAFCNXCULLUIL-UHFFFAOYSA-N,O=C(c1ccc(S(=O)(=O)Nc2ccccc2)cc1)N1CCCC(C(F)(F)F)C1,0.10068148,0.08656226,0.003982465
GUSYYOQMHQNUSZ-UHFFFAOYSA-N,Clc1ccc(N=c2ccn(CCCCCn3ccc(=Nc4ccc(Cl)cc4)cc3)cc2)cc1,0.08450904,0.07355371,0.0038135506
KKPGANILSLDBNG-UHFFFAOYSA-N,C=CCn1c(SCC(=O)Nc2cc(C)c(Cl)cc2OC)nnc1-c1ccco1,0.10531661,0.08794189,0.0062831216
AXTRRTMVQMYCRV-UHFFFAOYSA-N,CCCCCCn1cnc2c3ccccc3c3c(c21)CCC(C)(C)O3,0.09926433,0.08399798,0.005412939
BJWIPOMEOBTTJP-SRCKYBTLSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)NCCNC(=O)/C(C#N)=C/c5cccc(Cl)c5)CC[C@]4(C)[C@H]3CC[C@]12C,0.099876165,0.0852953,0.004605607
KMLCAXOEHCQJRO-UHFFFAOYSA-N,CN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NCC3,0.10254075,0.08585431,0.006171817
YFFNJWCMUGIYOE-HXBUSHRASA-N,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@H](Cl)C2SC1,0.10548795,0.08852935,0.0058308975
JUFDKIHNAKWIPB-BXXZVTAOSA-N,O=C(O)C(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,0.09757994,0.084312074,0.003746033
NVOSPZNQVSARGS-UHFFFAOYSA-N,COc1ccc(OC(=O)c2nc(SCc3ccccc3F)ncc2Cl)cc1,0.10447649,0.089151256,0.0044098953
YUUYGPGETZPGDG-UHFFFAOYSA-N,Fc1cccc(CNCC2Cn3nncc3CO2)c1,0.10699137,0.08833479,0.007209406
AAGONDJNRDWVLR-SANMLTNESA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(OC)cc1c2C1CCCC1,0.10986679,0.09171811,0.006077989
ZELWNOUFNSTJBZ-UHFFFAOYSA-N,CCOc1ccc2nc(NC(=O)C(=O)C(C(=O)c3ccccc3F)C3OC(=O)c4ccccc43)sc2c1,0.094147116,0.08003263,0.0052508134
DVBXFRSRFUTZTN-UHFFFAOYSA-N,CCc1ccc(I)c(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,0.51627463,0.22678263,0.02295247
ICZJHRYDJKYLQD-YTZAWJCFSA-N,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@H](C)N(C(=O)c2ccccn2)C[C@H]1C,0.5229875,0.22921929,0.020252299
CXRJHASYZPXNEG-UHFFFAOYSA-N,Cc1c(Cl)cccc1NC(=O)c1cc(NC(=O)c2ccccc2C(F)(F)F)cc2[nH]c(C3CCCC3)nc12,0.5137014,0.22989076,0.019921504
MQKSZWYYHGTHIV-UHFFFAOYSA-N,CC(C)NS(=O)(=O)c1ccc(OCC(=O)Nc2ccccc2F)cc1,0.51559025,0.22829726,0.021459673
FIRIFVVVVQIBLD-UHFFFAOYSA-N,CC1=NN(c2ccc(C(=O)O)cc2)C(=O)CC1,0.51209,0.2319279,0.017925927
XVXCKHQWKUVAPE-UHFFFAOYSA-N,CC(NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,0.51260924,0.22794883,0.02189217
IFDQXIBLGLRXER-KTIHBUSBSA-N,COC(=O)[C@@]12CCCN1[C@H](c1ccc(SC3CCCCC3)cc1)[C@H]1C(=O)N(C)C(=O)[C@H]12,0.50880724,0.23113523,0.018787185
LWMHQSNCXDHONB-UHFFFAOYSA-N,O=C(c1ccccc1)N1CCN(S(=O)(=O)c2cccs2)CC1,0.51736087,0.23240672,0.017291848
KIBICQVMFUXHBE-UHFFFAOYSA-N,CCCN(CCN1CCN(c2ccccn2)CC1)C1CCc2ccc(O)cc2C1,0.5146056,0.228575,0.021211635
HRWQNVARHISMJN-HTWIIDBLSA-N,CCCCNC(=O)CC(O)C(Cc1ccccc1)NC(=O)[C@@H](NC(=O)CN1CCC(C(N)=O)(c2ccccc2)CC1)[C@@H](C)CC,0.51873463,0.23187909,0.01776994
NFASEKPXRUMCIX-UHFFFAOYSA-N,COc1cccc(-c2cc(O)c3c(c2)CN(C(=O)C2CC2)CCO3)c1,0.5139211,0.22789462,0.021911614
ZKKQCCSHBYRQHR-UHFFFAOYSA-N,O=C(O)C(=O)C1Cc2ccc([N+](=O)[O-])cc2CN1S(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1,0.5124846,0.22736925,0.022474881
